uprn,r100_programme,web_scenario_readable,r100_expected_end_date
125053140,R100,In intervention area: build expected,2026
125053278,,Already enabled,
125032802,,Already enabled,
125053807,,Already enabled,
125053206,,Already enabled,
125044373,SBVS,Premises sub 30mbps - eligible for SBVS,
125053275,,Already enabled,
125053860,,Already enabled,
125053665,R100,In intervention area: build expected,2026
125032776,,Already enabled,
125028830,,Already enabled,
125028967,,Already enabled,
125087608,,No connectivity data available,
125053775,,Already enabled,
125087795,,No connectivity data available,
125032728,,Already enabled,
125087601,,No connectivity data available,
125053572,R100,In intervention area: build expected,2026
125083255,R100,In intervention area: build expected,2026
125028901,,Already enabled,
125010455,R100,In intervention area: build expected,2026
125053532,R100,In intervention area: build expected,2026
125053810,,Already enabled,
125053332,R100,In intervention area: build expected,2026
125089641,,No connectivity data available,
125053778,R100,In intervention area: build expected,2026
125053830,,Already enabled,
125000122,SBVS,Premises sub 30mbps - eligible for SBVS,
125053545,,Already enabled,
125044667,SBVS,Premises sub 30mbps - eligible for SBVS,
125019406,,Already enabled,
125053303,R100,In intervention area: build expected,2026
125032752,,Already enabled,
125010296,,Already enabled,
125053786,,Already enabled,
125009936,SBVS,Premises sub 30mbps - eligible for SBVS,
125019013,,Already enabled,
125017594,,Already enabled,
125032759,,Already enabled,
125053682,R100,In intervention area: build expected,2026
125021341,,Already enabled,
125053479,R100,In intervention area: build expected,2026
125053453,,Already enabled,
125053834,SBVS,Premises sub 30mbps - eligible for SBVS,
125032739,,Already enabled,
125004447,R100,In intervention area: build expected,2026
125087595,,No connectivity data available,
125053841,,Already enabled,
125053853,,Already enabled,
125026746,,Already enabled,
125053668,R100,In intervention area: build expected,2026
125004216,,Already enabled,
125000786,SBVS,Premises sub 30mbps - eligible for SBVS,
125075058,,Already enabled,
125032804,,Already enabled,
125017630,,Already enabled,
125006610,,Already enabled,
125030592,,Already enabled,
125053816,,Already enabled,
125011500,SBVS,Premises sub 30mbps - eligible for SBVS,
125053861,,Already enabled,
125053151,R100,In intervention area: build expected,2026
125029102,,Already enabled,
125032737,,Already enabled,
125032743,,Already enabled,
125083260,SBVS,Premises sub 30mbps - eligible for SBVS,
125032736,,Already enabled,
125087596,,No connectivity data available,
125032771,,Already enabled,
125006220,,Already enabled,
125024879,SBVS,Premises sub 30mbps - eligible for SBVS,
125013542,,Already enabled,
125018989,,Already enabled,
125042517,R100,In intervention area: build expected,2026
125032803,,Already enabled,
125016107,R100,In intervention area: build expected,2026
125068432,R100,In intervention area: build expected,2026
125075884,SBVS,Premises sub 30mbps - eligible for SBVS,
125053553,,Already enabled,
125032773,,Already enabled,
125032777,,Already enabled,
125016044,,Already enabled,
125006505,,Already enabled,
125028938,,Already enabled,
125087606,,No connectivity data available,
125053580,R100,In intervention area: build expected,2026
125080198,,Already enabled,
125027451,,Already enabled,
125053153,SBVS,Premises sub 30mbps - eligible for SBVS,
125075057,,Already enabled,
125053549,,Already enabled,
125004292,,Already enabled,
125053575,R100,In intervention area: build expected,2026
125087796,,No connectivity data available,
125053799,SBVS,Premises sub 30mbps - eligible for SBVS,
125053796,SBVS,Premises sub 30mbps - eligible for SBVS,
125006442,SBVS,Premises sub 30mbps - eligible for SBVS,
125008017,,Already enabled,
125032788,,Already enabled,
125006032,,Already enabled,
125068433,SBVS,Premises sub 30mbps - eligible for SBVS,
125053271,,Already enabled,
125042519,,Already enabled,
125070830,,Already enabled,
125053813,,Already enabled,
125041820,,Already enabled,
125030598,SBVS,Premises sub 30mbps - eligible for SBVS,
125053657,R100,In intervention area: build expected,2026
125002461,SBVS,Premises sub 30mbps - eligible for SBVS,
125004649,,Already enabled,
125087609,,No connectivity data available,
125053653,R100,In intervention area: build expected,2026
125044295,SBVS,Premises sub 30mbps - eligible for SBVS,
125087793,,No connectivity data available,
125053664,R100,In intervention area: build expected,2026
125030585,R100,In intervention area: build expected,2026
125053142,R100,In intervention area: build expected,2026
125053584,R100,In intervention area: build expected,2026
125044297,SBVS,Premises sub 30mbps - eligible for SBVS,
125032809,,Already enabled,
125032800,,Already enabled,
125053883,SBVS,Premises sub 30mbps - eligible for SBVS,
125087782,,No connectivity data available,
125068582,R100,In intervention area: build expected,2026
125087788,,No connectivity data available,
125013528,,Already enabled,
125032754,,Already enabled,
125068425,SBVS,Premises sub 30mbps - eligible for SBVS,
125053530,R100,In intervention area: build expected,2026
125053149,R100,In intervention area: build expected,2026
125044298,,Already enabled,
125010359,,Already enabled,
125053163,,Already enabled,
125002196,,Already enabled,
125053738,R100,In intervention area: build expected,2026
125001967,,Already enabled,
125032778,SBVS,Premises sub 30mbps - eligible for SBVS,
125032740,,Already enabled,
125020957,SBVS,Premises sub 30mbps - eligible for SBVS,
125021733,,Already enabled,
125027452,SBVS,Premises sub 30mbps - eligible for SBVS,
125043027,,Already enabled,
125073778,,Already enabled,
125007817,,Already enabled,
125053762,SBVS,Premises sub 30mbps - eligible for SBVS,
125032749,,Already enabled,
125017595,,Already enabled,
125021735,,Already enabled,
125032731,,Already enabled,
125087792,,No connectivity data available,
125017404,,Already enabled,
125053462,SBVS,Premises sub 30mbps - eligible for SBVS,
125074616,,Already enabled,
125087805,,No connectivity data available,
125053864,,Already enabled,
125075271,R100,In intervention area: build expected,2026
125087603,,No connectivity data available,
125053742,R100,In intervention area: build expected,2026
125074577,,Already enabled,
125006286,,Already enabled,
125053751,R100,In intervention area: build expected,2026
125070812,SBVS,Premises sub 30mbps - eligible for SBVS,
125032798,,Already enabled,
125053827,,Already enabled,
125021207,,Already enabled,
125032782,SBVS,Premises sub 30mbps - eligible for SBVS,
125019087,,Already enabled,
125001977,,Already enabled,
